timestamp;accX;accY;accZ;gyroX;gyroY;gyroZ
813423;-3.0;-2.0;2049.0;1.0;0.0;-1.0
813427;-1.0;3.0;2032.0;3.0;1.0;-3.0
813430;-1.0;-5.0;2055.0;2.0;2.0;-4.0
813434;-6.0;4.0;2043.0;0.0;3.0;-3.0
813437;4.0;0.0;2049.0;0.0;2.0;-2.0
813441;4.0;-5.0;2043.0;3.0;1.0;-1.0
813444;-3.0;-1.0;2044.0;-4.0;0.0;-2.0
813448;5.0;13.0;2056.0;2.0;-1.0;-2.0
813451;1.0;-6.0;2046.0;2.0;2.0;-8.0
813455;6.0;11.0;2036.0;-2.0;-1.0;0.0
813458;2.0;9.0;2052.0;2.0;-2.0;5.0
813462;3.0;-1.0;2038.0;-3.0;2.0;-1.0
813465;-1.0;4.0;2044.0;-5.0;6.0;0.0
813469;2.0;1.0;2042.0;1.0;1.0;0.0
813472;22.0;4.0;2044.0;0.0;0.0;-1.0
813476;7.0;8.0;2043.0;0.0;2.0;-2.0
813479;3.0;-8.0;2049.0;1.0;4.0;-4.0
813483;-8.0;8.0;2044.0;-1.0;3.0;0.0
813486;3.0;8.0;2037.0;-5.0;-2.0;-5.0
813490;3.0;4.0;2050.0;0.0;1.0;-3.0
813493;0.0;9.0;2044.0;0.0;0.0;-1.0
813497;-3.0;-8.0;2041.0;-2.0;1.0;-4.0
813500;-5.0;10.0;2044.0;-5.0;0.0;1.0
813504;18.0;7.0;2043.0;-1.0;0.0;0.0
813507;3.0;7.0;2041.0;2.0;1.0;-2.0
813511;1.0;-1.0;2043.0;1.0;0.0;-5.0
813514;-10.0;1.0;2042.0;-1.0;2.0;0.0
813518;-2.0;2.0;2050.0;-1.0;2.0;0.0
813521;2.0;-2.0;2045.0;-3.0;0.0;-1.0
813525;-9.0;3.0;2045.0;2.0;0.0;-4.0
813528;0.0;1.0;2042.0;2.0;-2.0;-3.0
813532;-4.0;11.0;2046.0;2.0;-5.0;-4.0
813535;-5.0;8.0;2054.0;0.0;2.0;-1.0
813539;-3.0;6.0;2043.0;-5.0;0.0;-3.0
813542;1.0;10.0;2048.0;-1.0;0.0;1.0
813546;-9.0;7.0;2041.0;-5.0;-5.0;-3.0
813549;-6.0;1.0;2051.0;-2.0;0.0;-3.0
813553;8.0;-3.0;2053.0;-1.0;5.0;0.0
813556;7.0;1.0;2045.0;5.0;4.0;-1.0
813560;1.0;-5.0;2050.0;-2.0;-2.0;3.0
813563;7.0;5.0;2046.0;1.0;1.0;0.0
813567;-1.0;16.0;2042.0;-1.0;0.0;-3.0
813570;6.0;5.0;2050.0;-2.0;3.0;-3.0
813574;0.0;2.0;2056.0;3.0;-5.0;1.0
813577;11.0;10.0;2054.0;1.0;-3.0;-1.0
813581;1.0;-11.0;2048.0;-1.0;0.0;-1.0
813584;1.0;5.0;2041.0;-3.0;2.0;-3.0
813588;4.0;0.0;2047.0;-6.0;3.0;-2.0
813591;0.0;0.0;2052.0;-1.0;0.0;-3.0
813595;-4.0;4.0;2046.0;-1.0;2.0;-3.0
813598;-2.0;2.0;2046.0;0.0;2.0;1.0
813602;-2.0;4.0;2043.0;-5.0;-1.0;-3.0
813605;4.0;2.0;2042.0;-1.0;4.0;-1.0
813609;-1.0;4.0;2046.0;0.0;-1.0;-1.0
813612;-2.0;5.0;2038.0;3.0;2.0;-3.0
813616;14.0;11.0;2037.0;-2.0;-3.0;-1.0
813619;0.0;-3.0;2049.0;0.0;0.0;-3.0
813623;6.0;0.0;2039.0;0.0;1.0;-2.0
813626;2.0;19.0;2051.0;-2.0;-2.0;-3.0
813630;-5.0;2.0;2039.0;2.0;2.0;-3.0
813633;-2.0;3.0;2032.0;1.0;0.0;-6.0
813637;2.0;-3.0;2046.0;0.0;5.0;-1.0
813640;1.0;-10.0;2050.0;-4.0;-2.0;-1.0
813644;-6.0;5.0;2051.0;-2.0;4.0;-3.0
813647;-5.0;11.0;2037.0;2.0;3.0;1.0
813651;-5.0;0.0;2046.0;-2.0;-1.0;2.0
813654;9.0;4.0;2047.0;-2.0;2.0;1.0
813658;2.0;1.0;2043.0;-1.0;2.0;-5.0
813661;-11.0;5.0;2053.0;1.0;2.0;-8.0
813665;3.0;7.0;2038.0;1.0;-1.0;-2.0
813668;9.0;-2.0;2048.0;0.0;-1.0;-2.0
813672;-10.0;2.0;2040.0;-3.0;-1.0;-3.0
813675;2.0;3.0;2040.0;0.0;1.0;-3.0
813679;-3.0;-1.0;2038.0;-1.0;-3.0;-6.0
813682;-1.0;-2.0;2033.0;-2.0;3.0;-1.0
813686;-1.0;0.0;2045.0;1.0;2.0;-3.0
813689;7.0;9.0;2046.0;0.0;2.0;-1.0
813693;-1.0;3.0;2040.0;-2.0;-3.0;-2.0
813696;-6.0;5.0;2049.0;-2.0;4.0;-1.0
813700;3.0;3.0;2048.0;-3.0;3.0;-1.0
813703;-7.0;5.0;2045.0;-3.0;4.0;-2.0
813707;-11.0;6.0;2050.0;0.0;3.0;-2.0
813710;0.0;-6.0;2042.0;-1.0;3.0;-4.0
813714;-8.0;-3.0;2038.0;2.0;0.0;0.0
813717;3.0;7.0;2046.0;1.0;0.0;-3.0
813721;2.0;11.0;2060.0;4.0;4.0;5.0
813724;-1.0;9.0;2033.0;-3.0;1.0;1.0
813728;-2.0;12.0;2057.0;5.0;1.0;1.0
813731;12.0;3.0;2049.0;2.0;1.0;3.0
813735;-2.0;0.0;2049.0;-1.0;0.0;-4.0
813738;6.0;0.0;2049.0;-1.0;1.0;0.0
813742;18.0;5.0;2056.0;-1.0;1.0;-2.0
813745;-7.0;7.0;2052.0;0.0;1.0;-3.0
813749;3.0;13.0;2050.0;-2.0;0.0;-1.0
813752;-3.0;-1.0;2055.0;-1.0;0.0;-1.0
813756;3.0;7.0;2052.0;-4.0;1.0;-3.0
813759;3.0;-3.0;2047.0;0.0;-2.0;-3.0
813763;0.0;9.0;2048.0;-1.0;0.0;-1.0
813766;-3.0;2.0;2051.0;1.0;-3.0;-4.0
813770;3.0;-4.0;2048.0;1.0;-1.0;2.0
813773;5.0;-2.0;2051.0;-1.0;-1.0;-2.0
813777;-6.0;5.0;2062.0;-1.0;5.0;-2.0
813780;0.0;-9.0;2045.0;1.0;3.0;-4.0
813784;6.0;2.0;2044.0;0.0;2.0;0.0
813787;3.0;-1.0;2045.0;0.0;0.0;0.0
813791;1.0;-1.0;2054.0;0.0;3.0;-3.0
813794;-5.0;-2.0;2051.0;3.0;0.0;-3.0
813798;3.0;3.0;2044.0;-1.0;2.0;0.0
813801;-4.0;-2.0;2046.0;-1.0;3.0;0.0
813805;9.0;-2.0;2044.0;-2.0;-3.0;-3.0
813808;1.0;-2.0;2047.0;0.0;2.0;2.0
813812;6.0;-1.0;2038.0;1.0;1.0;-1.0
813815;-8.0;3.0;2033.0;-1.0;1.0;-4.0
813819;2.0;2.0;2050.0;-4.0;-1.0;-7.0
813822;4.0;-6.0;2052.0;-1.0;0.0;-1.0
813826;6.0;8.0;2048.0;0.0;3.0;1.0
813829;0.0;9.0;2048.0;1.0;-2.0;0.0
813833;-10.0;6.0;2046.0;-1.0;-1.0;-1.0
813836;-1.0;6.0;2039.0;2.0;-2.0;-5.0
813840;-2.0;-4.0;2046.0;0.0;-3.0;-2.0
813843;-2.0;10.0;2050.0;1.0;0.0;-1.0
813847;-1.0;-7.0;2034.0;-2.0;3.0;0.0
813850;-8.0;3.0;2048.0;0.0;2.0;0.0
813854;4.0;4.0;2043.0;-5.0;0.0;-3.0
813857;4.0;-7.0;2042.0;0.0;-1.0;-2.0
813861;-4.0;-1.0;2040.0;-6.0;-3.0;-2.0
813864;3.0;1.0;2042.0;-1.0;-2.0;1.0
813868;-3.0;8.0;2043.0;-2.0;2.0;-1.0
813871;7.0;-3.0;2051.0;-6.0;0.0;-4.0
813875;-1.0;10.0;2058.0;3.0;2.0;-2.0
813878;-8.0;3.0;2037.0;-1.0;0.0;-4.0
813882;-3.0;5.0;2037.0;1.0;-1.0;-2.0
813885;7.0;11.0;2047.0;-5.0;0.0;-1.0
813889;8.0;-2.0;2050.0;-1.0;-5.0;-5.0
813892;15.0;0.0;2051.0;-7.0;2.0;-4.0
813896;-2.0;8.0;2047.0;-6.0;-2.0;-3.0
813899;0.0;-6.0;2041.0;-2.0;-1.0;1.0
813903;-2.0;0.0;2052.0;3.0;2.0;-3.0
813906;9.0;-2.0;2053.0;1.0;3.0;-3.0
813910;-6.0;4.0;2047.0;1.0;0.0;-2.0
813913;-4.0;11.0;2048.0;-3.0;3.0;-4.0
813917;-2.0;-6.0;2040.0;-3.0;-1.0;-4.0
813920;5.0;3.0;2047.0;-2.0;2.0;-4.0
813924;0.0;5.0;2048.0;-2.0;-2.0;-6.0
813927;-4.0;2.0;2054.0;-3.0;-1.0;-2.0
813931;-8.0;0.0;2043.0;-4.0;0.0;-6.0
813934;8.0;0.0;2050.0;-1.0;2.0;-1.0
813938;-8.0;5.0;2039.0;0.0;2.0;-1.0
813941;4.0;2.0;2037.0;3.0;0.0;1.0
813945;-4.0;6.0;2047.0;1.0;-2.0;-3.0
813948;-8.0;8.0;2053.0;3.0;2.0;-5.0
813952;1.0;3.0;2048.0;-5.0;-1.0;2.0
813955;2.0;14.0;2046.0;-1.0;-4.0;0.0
813959;-1.0;12.0;2037.0;-1.0;4.0;0.0
813962;-3.0;11.0;2049.0;-1.0;2.0;-2.0
813966;2.0;0.0;2053.0;1.0;2.0;-4.0
813969;7.0;-2.0;2046.0;1.0;1.0;-1.0
813973;-8.0;-6.0;2034.0;-1.0;1.0;-4.0
813976;9.0;15.0;2042.0;0.0;2.0;-3.0
813980;-3.0;-3.0;2041.0;-4.0;0.0;-3.0
813983;2.0;-2.0;2031.0;0.0;0.0;-2.0
813987;2.0;5.0;2050.0;-2.0;-1.0;-1.0
813990;0.0;8.0;2049.0;-3.0;2.0;2.0
813994;1.0;4.0;2047.0;-4.0;2.0;-2.0
813997;13.0;-10.0;2048.0;-1.0;1.0;-1.0
814001;1.0;-2.0;2048.0;0.0;-3.0;-1.0
814004;19.0;12.0;2053.0;2.0;-2.0;-4.0
814008;-1.0;1.0;2048.0;-4.0;-1.0;-4.0
814011;-8.0;5.0;2043.0;0.0;1.0;0.0
814015;-9.0;-4.0;2046.0;-2.0;0.0;0.0
814018;-8.0;10.0;2055.0;-2.0;1.0;-3.0
814022;7.0;3.0;2035.0;0.0;0.0;-3.0
814025;1.0;4.0;2053.0;-1.0;2.0;-4.0
814029;9.0;3.0;2051.0;-4.0;2.0;-2.0
814032;-11.0;10.0;2040.0;-1.0;0.0;1.0
814036;2.0;-7.0;2041.0;4.0;3.0;-1.0
814039;4.0;-6.0;2048.0;-1.0;-1.0;-4.0
814043;2.0;2.0;2053.0;-2.0;0.0;-3.0
814046;8.0;17.0;2052.0;-1.0;4.0;-3.0
814050;6.0;2.0;2055.0;0.0;0.0;-1.0
814053;-3.0;-7.0;2051.0;1.0;-2.0;-4.0
814057;-14.0;1.0;2045.0;1.0;1.0;-4.0
814060;5.0;14.0;2033.0;0.0;1.0;0.0
814064;7.0;2.0;2043.0;-1.0;2.0;0.0
814067;13.0;11.0;2048.0;0.0;1.0;1.0
814071;2.0;4.0;2047.0;-2.0;3.0;1.0
814074;-3.0;17.0;2043.0;0.0;0.0;-4.0
814078;22.0;1.0;2040.0;-3.0;-3.0;-3.0
814081;9.0;16.0;2050.0;2.0;-3.0;0.0
814085;9.0;0.0;2038.0;1.0;0.0;-3.0
814088;2.0;-2.0;2042.0;-4.0;0.0;-1.0
814092;0.0;9.0;2034.0;-2.0;1.0;-3.0
814095;-3.0;-5.0;2046.0;1.0;-3.0;-2.0
814099;2.0;10.0;2038.0;-4.0;2.0;0.0
814102;1.0;4.0;2046.0;-1.0;5.0;1.0
814106;-11.0;7.0;2031.0;-2.0;1.0;1.0
814109;2.0;8.0;2041.0;-4.0;-3.0;3.0
814113;4.0;4.0;2051.0;-1.0;-1.0;-2.0
814116;3.0;0.0;2030.0;0.0;-2.0;-1.0
