timestamp;accX;accY;accZ;gyroX;gyroY;gyroZ
867451;-723.0;-138.0;2041.0;10.0;7.0;22.0
867454;-709.0;-125.0;2047.0;-4.0;0.0;58.0
867458;-698.0;-103.0;2019.0;-24.0;-2.0;91.0
867461;-636.0;-92.0;2042.0;-28.0;-3.0;131.0
867465;-507.0;-7.0;2064.0;-35.0;-11.0;164.0
867468;-456.0;4.0;2046.0;-32.0;-3.0;191.0
867472;-380.0;61.0;2035.0;-27.0;0.0;210.0
867475;-367.0;100.0;2041.0;-15.0;4.0;216.0
867479;-410.0;250.0;2037.0;-5.0;9.0;202.0
867482;-466.0;293.0;2047.0;6.0;5.0;148.0
867486;-492.0;317.0;2041.0;7.0;4.0;90.0
867489;-483.0;382.0;2046.0;6.0;2.0;25.0
867493;-396.0;336.0;2046.0;4.0;-1.0;-36.0
867496;-281.0;261.0;2055.0;0.0;0.0;-75.0
867500;9.0;5.0;2085.0;-21.0;-2.0;-59.0
867503;10.0;-37.0;2044.0;-38.0;-1.0;-26.0
867507;7.0;-27.0;2049.0;-24.0;-4.0;-13.0
867510;7.0;-12.0;2046.0;-16.0;1.0;-13.0
867514;3.0;-9.0;2051.0;-12.0;3.0;-6.0
867517;-19.0;-13.0;2064.0;-11.0;3.0;-14.0
867521;-44.0;13.0;2044.0;-12.0;7.0;-15.0
867524;-166.0;52.0;2041.0;-17.0;3.0;-31.0
867528;-471.0;97.0;2030.0;195;0;0
867531;-715.0;57.0;2038.0;-34.0;-5.0;-130.0
867535;-773.0;-10.0;2034.0;-27.0;-7.0;-135.0
867538;-858.0;-74.0;2033.0;-24.0;-10.0;-101.0
867542;-836.0;-131.0;2041.0;-28.0;-7.0;-38.0
867545;-787.0;-140.0;2063.0;-35.0;-9.0;33.0
867549;-663.0;-114.0;2055.0;-48.0;-11.0;81.0
867552;-629.0;-93.0;2056.0;-49.0;-10.0;117.0
867556;-610.0;-150.0;2037.0;-42.0;-2.0;123.0
867559;-547.0;-150.0;2033.0;-29.0;-1.0;137.0
867563;-556.0;-130.0;2038.0;-14.0;4.0;158.0
867566;-441.0;-152.0;2064.0;-15.0;-3.0;179.0
867570;-507.0;-88.0;2050.0;-20.0;1.0;216.0
867573;-460.0;-130.0;2033.0;-14.0;4.0;241.0
867577;-463.0;-107.0;2074.0;-16.0;1.0;269.0
867580;-479.0;-94.0;2032.0;4.0;6.0;290.0
867584;-507.0;24.0;2055.0;6.0;10.0;306.0
867587;-500.0;-40.0;2042.0;-6.0;8.0;316.0
867591;-501.0;17.0;2046.0;10.0;9.0;335.0
867594;-196.0;-148.0;2127.0;5.0;10.0;345.0
867598;-640.0;-255.0;2217.0;-56.0;-66.0;575.0
867601;-568.0;42.0;1899.0;-74.0;-9.0;379.0
867605;-546.0;-115.0;2095.0;-66.0;-6.0;235.0
867608;-532.0;-192.0;1975.0;-19.0;-3.0;199.0
867612;-495.0;-104.0;2050.0;36.0;6.0;198.0
867615;-441.0;-26.0;2070.0;23.0;8.0;190.0
867619;-359.0;-9.0;2020.0;0.0;9.0;172.0
867622;-262.0;-23.0;2026.0;-9.0;5.0;177.0
867626;-195.0;-49.0;2006.0;6.0;13.0;191.0
867629;-77.0;13.0;2058.0;23.0;14.0;200.0
867633;-75.0;-94.0;2002.0;11.0;15.0;235.0
867636;-113.0;17.0;2019.0;12.0;16.0;302.0
867640;-140.0;88.0;2042.0;34.0;18.0;337.0
867643;-227.0;121.0;2068.0;28.0;12.0;362.0
867647;-281.0;191.0;2060.0;-9.0;7.0;369.0
867650;-369.0;184.0;2036.0;-11.0;9.0;338.0
867654;-377.0;189.0;2056.0;-4.0;1.0;295.0
867657;-415.0;132.0;2064.0;-3.0;2.0;261.0
867661;-353.0;128.0;2009.0;10.0;7.0;211.0
867664;-379.0;172.0;2021.0;10.0;2.0;156.0
867668;-309.0;157.0;2061.0;3.0;-5.0;73.0
867671;-221.0;118.0;2034.0;-24.0;-12.0;-10.0
867675;-89.0;114.0;2012.0;-14.0;-9.0;-95.0
867678;68.0;38.0;2101.0;-5.0;-10.0;-163.0
867682;152.0;-37.0;2085.0;0.0;-5.0;-174.0
867685;140.0;-123.0;1995.0;5.0;6.0;-138.0
867689;203.0;-190.0;2117.0;48.0;10.0;-102.0
867692;279.0;-63.0;2010.0;67.0;9.0;-45.0
867696;122.0;50.0;2124.0;50.0;12.0;-7.0
867699;314.0;36.0;2062.0;-15.0;0.0;2.0
867703;357.0;-35.0;2014.0;-8.0;8.0;11.0
867706;440.0;-116.0;2072.0;9.0;7.0;31.0
867710;419.0;-178.0;2022.0;-10.0;1.0;83.0
867713;446.0;-115.0;2038.0;3.0;7.0;137.0
867717;366.0;-67.0;2043.0;25.0;7.0;181.0
867720;329.0;-87.0;2055.0;20.0;6.0;234.0
867724;315.0;-22.0;2050.0;8.0;8.0;262.0
867727;285.0;32.0;2068.0;14.0;6.0;270.0
867731;263.0;0.0;2056.0;18.0;13.0;253.0
867734;246.0;59.0;2068.0;9.0;8.0;243.0
867738;192.0;-45.0;2024.0;4.0;10.0;205.0
867741;208.0;9.0;2075.0;19.0;11.0;176.0
867745;186.0;13.0;2078.0;11.0;7.0;117.0
